FRASEO,P11_COD1,P11_COD2,P11_COD3
continuar estudiando y tener un dinero ahorrado para los gastos de la escuela                                                                                                                                                                                  ,PARA GASTOS DE LA ESCUELA,,
para tener algo asegurado en un futuro y no tener que presionarse                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
"para poder empezar con mi vida solo, ya sea soltero o con mi pareja                                                                                                                                                                                            ",AHORRAR E INVERTIR PARA UN FUTURO,,
para que después de mis estudios pueda ayudar a mis padres por todo lo que han hecho por mi                                                                                                                                                                   ,PARA GASTOS DE LA ESCUELA,,
para asegurar algo y tener un mejor  futuro economico                                                                                                                                                                                                          ,AHORRAR E INVERTIR PARA UN FUTURO,,
para tener dinero guardado para algún futuro                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
para cosas que pudieran pasarme                                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"planear los ahorros siempre será mejor, de esa manera podría ahorrar para mis hijos, para mis padres o para tener un patrimonio en mi vejez                                                                                                                  ",AHORRAR E INVERTIR PARA UN FUTURO,,
me gustaría ahorrar pero a veces no alcanza tener asegurada mi vejes                                                                                                                                                                                          ,AHORRAR E INVERTIR PARA UN FUTURO,,
para que tenga asegurado su futuro                                                                                                                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
Para alguna enfermedad o para su vejez                                                                                                                                                                                                                         ,GASTOS MÉDICOS,,
para mi vejez  para tener una estabilidad mas segura en el futuro                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
para que el dia que yo ya no este mi hija no batalle con sus estudios y asi podria terminar una carrera                                                                                                                                                        ,PARA GASTOS DE LA ESCUELA,,
"Para cualquier imprevisto, osea enfermedad o que yo requiera para poner un negocio.                                                                                                                                                                            ",PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,PARA HACER CRECER MI NEGOCIO
para el bienestar de mis hijos y un mejor futuro y una mejor educacion                                                                                                                                                                                         ,AHORRAR E INVERTIR PARA UN FUTURO,,
"Para satisfacer mis necesidades, comprar una casa o terreno y empezar a construir                                                                                                                                                                              ",AHORRAR E INVERTIR PARA UN FUTURO,,
para tener un patrimonio familiar y si algún dia llego a tener hijos no les falte nada                                                                                                                                                                        ,AHORRAR E INVERTIR PARA UN FUTURO,,
seria la unica manera de poder tener asegurada a mi familia aunque no este conmigo                                                                                                                                                                             ,ASEGURAR A MI FAMILIA,,
para eventos a futuro                                                                                                                                                                                                                                          ,AHORRAR E INVERTIR PARA UN FUTURO,,
para poder tener dinero cuando ya no pueda trabajar                                                                                                                                                                                                            ,AHORRAR E INVERTIR PARA UN FUTURO,,
Siempre me ha gustado ahorrar                                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
Quiero algún servicio que me quite un porcentaje de mi quincena y sea para ahorrar                                                                                                                                                                            ,AHORRAR E INVERTIR PARA UN FUTURO,,
por que actualmente me encuentro en una situacion economica muy dificil y no quiero estar asi siempre                                                                                                                                                          ,AHORRAR E INVERTIR PARA UN FUTURO,,
para mis metas de un futuro y poder lograrlas necesito de ese ahorro y dinero                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
pues me gustaría ahorrar para no tener tantas deudas pero no he podido                                                                                                                                                                                        ,PAGAR DEUDAS,,
Para cualquier imprevisto en el futuro.                                                                                                                                                                                                                        ,AHORRAR E INVERTIR PARA UN FUTURO,PARA TENER UN RESPALDO EN EMERGENCIAS,
Para algún inconveniente que llegará a pasar esta prevenido con los gastos                                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para el futuro                                                                                                                                                                                                                                                 ,AHORRAR E INVERTIR PARA UN FUTURO,,
para el futuro de mis hijos                                                                                                                                                                                                                                    ,AHORRAR E INVERTIR PARA UN FUTURO,,
para los estudios de mis hijos                                                                                                                                                                                                                                 ,PARA GASTOS DE LA ESCUELA,,
para asegurar su futuro económicamente y no mortificarme por el dinero                                                                                                                                                                                        ,AHORRAR E INVERTIR PARA UN FUTURO,,
ahorrar para mi futuro                                                                                                                                                                                                                                         ,AHORRAR E INVERTIR PARA UN FUTURO,,
para la vejez                                                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
"para lo que se ofrezca, en las épocas navideñas se gasta mucho y o algunas vacaciones para visitar a la familia                                                                                                                                              ",PARA IRME DE VIAJE O VACACIONES,,
Creo que tengo un ahorro quincenal por la nómina pero no se bien                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
"Pues cualquier necesidad que llegará a surgir, desempleo, enfermedades, viajes etc                                                                                                                                                                            ",PARA IRME DE VIAJE O VACACIONES,GASTOS MÉDICOS,
para poder manterme en mi vejez                                                                                                                                                                                                                                ,AHORRAR E INVERTIR PARA UN FUTURO,,
para tener dinero cuando ya no pueda trabajar                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
para ofrecerles un mejor futuro a ms hijos y un mejor bienestar                                                                                                                                                                                                ,AHORRAR E INVERTIR PARA UN FUTURO,,
para poder comprar un carro de agencia o su casa                                                                                                                                                                                                               ,PARA COMPRAR UN AUTO,,
Porque siempre es bueno ahorrar y estar preparado para gastos inesperados                                                                                                                                                                                      ,AHORRAR E INVERTIR PARA UN FUTURO,,
cuando yo deje de trabajar tener un ahorro para poder vivir  un poco tranquilos en nuestra vejez.                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
para un ahorro programado porque a veces uno trata de ahorrar pero por algúna situación lo gastamos y así me quito esa tentación                                                                                                                           ,AHORRAR E INVERTIR PARA UN FUTURO,,
podria ser una buena forma de ahorrar para los gastos de un futuro y tener la vejez asegurada                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,,
Ahorrar  para comprara una casa en el futuro                                                                                                                                                                                                                   ,AHORRAR E INVERTIR PARA UN FUTURO,,
Me gustaría tener un ahorro para cuando mis hijos esten más grandes e inicien en la escuela los dos no se me sea tan dificl                                                                                                                                  ,PARA GASTOS DE LA ESCUELA,,
en algún futuro quisiera terminar mis estudios y completar un grado más de estudio                                                                                                                                                                           ,PARA GASTOS DE LA ESCUELA,,
para el futuro de mis hijos principalmente tener un dinero o ir haciendo valer un seguro para el estudio y desarrollo de mis hijos                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
eventos sociales                                                                                                                                                                                                                                               ,OTROS,,
para hacer eventos                                                                                                                                                                                                                                             ,OTROS,,
por si se enferma algun familiar tener algo seguro                                                                                                                                                                                                             ,GASTOS MÉDICOS,,
alguna enfermedad o accidente automovilístico                                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
por cualquier evento inesperado tal vez me quede sin trabajo o me enferme y no pueda contribuir en la casa                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
lo utilizaria para cualquier emergencia que se me presentara mas en la salud de ni familia                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por cualquier emergencia o gasto la enfermedad no avisa o algún gasto que siempre hay                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
para algún imprevisto tener siempre dinero                                                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para lo que pueda pasar sieo gueradado mpre tener alg                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"en caso de algún accidente, mi mama no tenga problemas                                                                                                                                                                                                        ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
para cualquier emergencia que se presentará en mi familia                                                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
si tuviera algúna enfermedad o gastos y a veces no se tienen dinero                                                                                                                                                                                           ,GASTOS MÉDICOS,,
algun deceso de algun familiar                                                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para los estudios de mis hijos o mios en el futuro                                                                                                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
"Para cuando me salga algúna necesidad de improvisto, y no me agarre con las manos sin dinero, así cuando esto suceda yo ya voy a saber que tengo un dinero ahorrado, y eso evitara que yo realize algún prestamo con el que voy a pagar grandes cantidades d",PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para cualquier cosa que surgiera no estar preocupada ya tendría mi ahorro.                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
pagar cosas materiales o accidentes                                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
lo utilizaria para las enfermedades que se pudieran presentar en la familia                                                                                                                                                                                    ,GASTOS MÉDICOS,,
para una emergencia muy inesperado de algun accidente o algo                                                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para una emergencia no se cual se podria presentar (es una emergencia) (molesto)                                                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"uno nunca sabe cuando le va a pasar un accidente, y los gastos y daños que lleva                                                                                                                                                                              ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
"en caso de una accidente, que no tenga el suficiente dinero para comprar medicinas necesarias                                                                                                                                                                  ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
sería para utilizarlo en algún accidente que se llegase a presentar                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
ahorrar para tiempos dificiles                                                                                                                                                                                                                                 ,AHORRAR E INVERTIR PARA UN FUTURO,PARA TENER UN RESPALDO EN EMERGENCIAS,
para algún imprevisto y tener dinero para no estar pidiendo a mi familia                                                                                                                                                                                      ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
pues para lo que haga falta las emergencias siempre son las más dificiles de pagar así que contar con algo extra no seria nada malo                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
cualquier emergencia que  podria surgir podria ocuparlo                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para cualquier imprevisto no planeado                                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para algún incidente que pueda pasar a un futuro.                                                                                                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
para pagar ciertas Emergencias de salud de mi madre                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
precisamente para eso algúna enfermedad o accidente o no se sabe las desgracias están a la vuelta de la esquina y así estaría más protegido                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
comenta que para casos de emergencias de cualquier tipo                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"Comenta que para lo mismo que el de medico, medicamentos etc                                                                                                                                                                                                   ",GASTOS MÉDICOS,,
para cubrir los gastops de cualquier enfermedad                                                                                                                                                                                                                ,GASTOS MÉDICOS,,
para cubrir mis necesidades que hay de repente a veces no se tiene el dinero y ya es una tranquilidad esa opcion                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
en caso de una accidente o enfermedad                                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
lo utilizaria para alguna enfermedad que me llegara a pasar                                                                                                                                                                                                    ,GASTOS MÉDICOS,,
creo que seria algo necesario para ahorrar para alguna enfermedad que surja en este caso mi hija                                                                                                                                                               ,AHORRAR E INVERTIR PARA UN FUTURO,GASTOS MÉDICOS,
lo utilizaria para una emergencia tanto personal como de salud                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para imprevistos y poder ahorrar                                                                                                                                                                                                                               ,AHORRAR E INVERTIR PARA UN FUTURO,,
¿para una emergencia?   (tal cual dijo la señora después de 1 min. de pensar)                                                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
me gustaria tenerlo por que mi pareja espera un bebe ya tiene 5 meses y han surgido algunas complicaciones                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
lo utilizaria para la salud mia y de mi familia                                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para pagar un gasto medico rapido y de emergencia                                                                                                                                                                                                              ,GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
porque mi madre ya es muy grande y tengo que estar preparada para culquier emergencia medica y gastos funerarios                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
Para cualquier eventualidad siempre tener un ahorro                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para alguna enfermedad o imprevisto                                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
para alguna emergencia                                                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
comenta que para casos de alguna enfermedad                                                                                                                                                                                                                    ,GASTOS MÉDICOS,,
para pagar gastos de forma rapida sin tener que estar pidiendo a otras personas                                                                                                                                                                                ,PARA GASTOS EN GENERAL,,
Pues me gustaría ahorrar pero a veces no se puede                                                                                                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
Pues algo para ir ahorrando ahora si que aunque sea de a poquito                                                                                                                                                                                               ,AHORRAR E INVERTIR PARA UN FUTURO,,
Para algún problema que se le presente                                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Porque aveces tenemos apuros donde necesitamos dinero y así evitar endeudarnos                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
e intereses                                                                                                                                                                                                                                                    ,AHORRAR E INVERTIR PARA UN FUTURO,,
para cualquier inconveniente económico                                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
ahorrar para viajar o comprar un coche                                                                                                                                                                                                                         ,PARA IRME DE VIAJE O VACACIONES,PARA COMPRAR UN AUTO,
porque así ya solito se guarda y ya lo siente uno menos el ahorro y se adapta uno                                                                                                                                                                             ,AHORRAR E INVERTIR PARA UN FUTURO,,
Para algo inesperado                                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"Mientras no lo necesite, no lo tocaría                                                                                                                                                                                                                        ",AHORRAR E INVERTIR PARA UN FUTURO,,
para alguna urgencia                                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"Le gustaría ir juntando su dinero, para poder estudiar                                                                                                                                                                                                        ",PARA GASTOS DE LA ESCUELA,,
Para hacer pequeñas inversiones.                                                                                                                                                                                                                              ,AHORRAR E INVERTIR PARA UN FUTURO,,
Ahorra para despues poder viajar por el pais                                                                                                                                                                                                                   ,PARA IRME DE VIAJE O VACACIONES,,
comprar un automóvil o enganche para una casa                                                                                                                                                                                                                 ,PARA COMPRAR UN AUTO,PARA HACER COMPRAS,
Lo ahorraría para estudios de su hija                                                                                                                                                                                                                         ,PARA GASTOS DE LA ESCUELA,,
para ahorrar dinero por si tiene una urgencia                                                                                                                                                                                                                  ,AHORRAR E INVERTIR PARA UN FUTURO,PARA TENER UN RESPALDO EN EMERGENCIAS,
más comodo y sin la molestia de hacerlo uno mismo                                                                                                                                                                                                             ,POR SEGURIDAD,,
Para guardar mi dinero y tenerlo disponible por cualquier imprevisto                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para guardar el poco dinero que llegará a ganar cuando tenga trabajo.                                                                                                                                                                                         ,AHORRAR E INVERTIR PARA UN FUTURO,,
es una buena forma de ahorrar facil y sencillo sin preocupaciones                                                                                                                                                                                              ,POR SEGURIDAD,,
para un viaje al extranjero                                                                                                                                                                                                                                    ,PARA IRME DE VIAJE O VACACIONES,,
dar el enganche para comprar un carro nuevo                                                                                                                                                                                                                    ,PARA COMPRAR UN AUTO,,
ahorrar para cualquir problema que se presente                                                                                                                                                                                                                 ,AHORRAR E INVERTIR PARA UN FUTURO,,
para cumplir con mi evento sin preocuparme cuando llegue el mismo                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para guardar mi dinero.                                                                                                                                                                                                                                        ,AHORRAR E INVERTIR PARA UN FUTURO,,
Para guardar mi dinero y no gastarlo                                                                                                                                                                                                                           ,AHORRAR E INVERTIR PARA UN FUTURO,,
para gastos de escuela de sus hijos                                                                                                                                                                                                                            ,PARA GASTOS DE LA ESCUELA,,
"siempre es bueno tener ahorros, los utilizaría para mis hijos y sus necesidades                                                                                                                                                                               ",AHORRAR E INVERTIR PARA UN FUTURO,,
para poder tener un ahorro seguro y ya no me lo gastaria tan rapido                                                                                                                                                                                            ,AHORRAR E INVERTIR PARA UN FUTURO,,
"para ampliar la casa, hacer un cuarto y remodelarla con muebles nuevos                                                                                                                                                                                         ",PARA MEJORAS EN LA CASA,,
Para guardar mi dinero y no gastarlo en cualquier cosa                                                                                                                                                                                                         ,AHORRAR E INVERTIR PARA UN FUTURO,,
para pagar cualquier eventiualidad que les llagase a pasar a sus hijos                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para una urgencia tener siempre un guardado                                                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
pues simplemente para hacer su ahorro a largo plazo y tener asegurado su futuro                                                                                                                                                                                ,AHORRAR E INVERTIR PARA UN FUTURO,,
tendria mi dinero más seguro de que no me vayan a robar o a asaltar                                                                                                                                                                                           ,POR SEGURIDAD,,
para tener un guardadito                                                                                                                                                                                                                                       ,AHORRAR E INVERTIR PARA UN FUTURO,,
para ir juntando mi dinero                                                                                                                                                                                                                                     ,AHORRAR E INVERTIR PARA UN FUTURO,,
por que es mas facil ahorrar en un banco que en casa                                                                                                                                                                                                           ,AHORRAR E INVERTIR PARA UN FUTURO,,
para guardar sus ahorros                                                                                                                                                                                                                                       ,AHORRAR E INVERTIR PARA UN FUTURO,,
para guardar mi dinero                                                                                                                                                                                                                                         ,AHORRAR E INVERTIR PARA UN FUTURO,,
para poder ahorrar mi dinero en lugar seguro y no tener que estar escondiendolo                                                                                                                                                                                ,POR SEGURIDAD,,
para poder ahorrar en algun imprevisto en un banco seguro                                                                                                                                                                                                      ,AHORRAR E INVERTIR PARA UN FUTURO,,
guardar parte de mi sueldo para después comprarme un carro más nuevo                                                                                                                                                                                         ,PARA COMPRAR UN AUTO,,
"Para lo que pueda necesitar su hija, cuando empiece a estudiar                                                                                                                                                                                                 ",PARA GASTOS DE LA ESCUELA,,
para facilitar los pagos en caso de alguna emergencia de cualquier tipo                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,PARA HACER VARIAS OPERACIONES COMODAMENTE,
para intentar hacer un negocio y que me de mas ganancias                                                                                                                                                                                                       ,PARA PONER UN NEGOCIO,,
poner una tienda                                                                                                                                                                                                                                               ,PARA PONER UN NEGOCIO,,
para poner un negocio propio                                                                                                                                                                                                                                   ,PARA PONER UN NEGOCIO,,
para poner mi taller porque con mi suelda pues no me alcanza                                                                                                                                                                                                   ,PARA PONER UN NEGOCIO,,
para mejorar mi negocio                                                                                                                                                                                                                                        ,PARA HACER CRECER MI NEGOCIO,,
para poder hacer crecer mi negocio y pueda poner despues varios negocios                                                                                                                                                                                       ,PARA HACER CRECER MI NEGOCIO,,
Para poner un negocio de  postres y bebidas.                                                                                                                                                                                                                   ,PARA PONER UN NEGOCIO,,
Para emprender un negocio propio y asi poder ser mi propio patrón.                                                                                                                                                                                            ,PARA PONER UN NEGOCIO,,
Para echar andar mi propio negocio y asi no trabajar en una empresa tendría más solvencia económica.                                                                                                                                                        ,PARA PONER UN NEGOCIO,,
para poner un negocio de mariscos                                                                                                                                                                                                                              ,PARA PONER UN NEGOCIO,,
le gustaria poner un negocio propio                                                                                                                                                                                                                            ,PARA PONER UN NEGOCIO,,
